uuid,name,chinese,math,english,physics,chemistry,biology,sum,
663aee82-35bc-4fac-a0d9-74bbb9bdae51,Aaden,40,7,42,43,97,30,259,
5b0160bb-5968-4151-aeb6-b3b50ce755cd,Aadhya,77,97,35,51,16,78,354,
ba606248-d4da-4c30-872a-cce20df7dde5,Aadhya,81,1,56,44,66,73,321,
a71b275f-63b3-49c3-bccf-fcc0eae49ffb,Aakash,46,19,97,82,32,30,306,
73098eef-f16f-42d2-8a90-bbb48d2ec325,Aakash,34,88,42,71,69,88,392,
b8d66be9-f699-404c-88c1-d48c36bc78c5,Aaleah,52,32,14,94,41,37,270,
4b66b9fe-b6d3-4f3d-8998-e113148d031f,Aaliyha,47,17,58,36,76,30,264,
b23567b5-2d0f-4f60-9f7d-40d7a19dd797,Aalliyah,76,51,83,90,48,70,418,
be934f15-1bb7-4687-adef-7178c1a2845d,Aalyiah,94,40,42,11,5,30,222,
40b8a238-44bb-4cb4-bd4f-8241652c1cdb,Aamina,54,22,71,39,12,99,297,
82c7bafd-d4d1-4feb-be98-2c303a425bb6,Aarav,69,29,94,24,63,86,365,
d36d53ab-ce6d-4be1-9e13-b918d7278db5,Aaric,97,47,99,25,39,10,317,
7b9ecc42-2ee5-459f-ba22-1492092b4664,Aariz,61,50,37,59,87,0,294,
6e42f4ad-e31b-48bd-8cd9-c05b8012e292,Aarushi,10,20,72,17,57,76,252,
5ac51492-0f84-4366-b138-209f24ecb4a4,Aashi,67,10,63,33,38,54,265,
bf27bf26-9a3b-4679-814c-6439fcd4a6da,Aashritha,46,56,92,17,57,31,299,
084f218f-e093-4094-be4f-0951432f7faf,Aayat,81,25,92,56,23,4,281,
db92fc5b-541f-4b36-a2b0-f7f1c11201f4,Aayush,39,11,39,12,21,71,193,
46b39e1b-c80c-4afd-93da-57edefccb125,Abagayle,41,48,62,39,65,50,305,
26a162ab-6d0e-4dd3-9a64-bf501f4d39ea,Abbie,97,52,21,58,25,31,284,
8b8072f3-084d-4f3d-b025-8d8466feff23,Abbie,42,63,11,29,81,27,253,
9b7d60e7-0ef4-47fa-9e25-7b962abb7a59,Abbott,82,97,65,55,13,24,336,
82a0dd1f-dbc3-4619-8b95-79ccd599d332,Abby,84,55,90,82,45,99,455,
756b3dd6-81fb-441d-9823-8db04e40dba1,Abbye,28,11,3,40,77,82,241,
